# wavelength_um clean_reference_transit_depth
2.8964459896e+00 5.0228638574e-03
2.9103269577e+00 5.0177494995e-03
2.9241468906e+00 5.0149275921e-03
2.9379050732e+00 5.0123347901e-03
2.9516038895e+00 5.0221299753e-03
2.9652419090e+00 5.0421599299e-03
2.9788219929e+00 5.0421454944e-03
2.9923439026e+00 5.0308969803e-03
3.0058081150e+00 5.0276350230e-03
3.0192160606e+00 5.0325873308e-03
3.0325660706e+00 5.0242803991e-03
3.0458610058e+00 5.0157341175e-03
3.0591011047e+00 5.0111864693e-03
3.0722858906e+00 5.0086737610e-03
3.0854179859e+00 5.0084842369e-03
3.0984950066e+00 5.0121368840e-03
3.1115200520e+00 5.0184796564e-03
3.1244928837e+00 5.0217281096e-03
3.1374130249e+00 5.0167357549e-03
3.1502830982e+00 5.0151022151e-03
3.1631019115e+00 5.0209630281e-03
3.1758699417e+00 5.0177536905e-03
3.1885900497e+00 5.0143012777e-03
3.2012600899e+00 5.0099408254e-03
3.2138810158e+00 5.0091622397e-03
3.2264540195e+00 5.0085554831e-03
3.2389800549e+00 5.0078020431e-03
3.2514579296e+00 5.0070257857e-03
3.2638890743e+00 5.0070350990e-03
3.2762739658e+00 5.0070821308e-03
3.2886140347e+00 5.0069955178e-03
3.3009068966e+00 5.0069526769e-03
3.3131558895e+00 5.0069312565e-03
3.3253600597e+00 5.0069326535e-03
3.3375210762e+00 5.0069997087e-03
3.3496379852e+00 5.0068325363e-03
3.3617110252e+00 5.0069014542e-03
3.3737409115e+00 5.0068506971e-03
3.3857290745e+00 5.0068278797e-03
3.3976759911e+00 5.0069075078e-03
3.4095809460e+00 5.0068609416e-03
3.4214429855e+00 5.0068683922e-03
3.4332649708e+00 5.0068809651e-03
3.4450469017e+00 5.0069224089e-03
3.4567890167e+00 5.0068367273e-03
3.4684898853e+00 5.0068083219e-03
3.4801530838e+00 5.0068031996e-03
3.4917769432e+00 5.0068120472e-03
3.5033609867e+00 5.0069312565e-03
3.5149068832e+00 5.0069210120e-03
3.5264151096e+00 5.0069587305e-03
3.5378849506e+00 5.0068949349e-03
3.5493180752e+00 5.0068506971e-03
3.5607149601e+00 5.0069056451e-03
3.5720739365e+00 5.0068655983e-03
3.5833969116e+00 5.0068432465e-03
3.5946838856e+00 5.0069051795e-03
3.6059350967e+00 5.0068832934e-03
3.6171500683e+00 5.0069037825e-03
3.6283309460e+00 5.0069815479e-03
3.6394770145e+00 5.0069517456e-03
3.6505870819e+00 5.0067873672e-03
3.6616640091e+00 5.0068995915e-03
3.6727070808e+00 5.0069577992e-03
3.6837160587e+00 5.0068395212e-03
3.6946909428e+00 5.0067789853e-03
3.7056329250e+00 5.0069303252e-03
3.7165420055e+00 5.0069061108e-03
3.7274188995e+00 5.0068791024e-03
3.7382628918e+00 5.0068288110e-03
3.7490749359e+00 5.0068460405e-03
3.7598559856e+00 5.0069340505e-03
3.7706038952e+00 5.0067617558e-03
3.7813210487e+00 5.0068064593e-03
3.7920079231e+00 5.0068302080e-03
3.8026630878e+00 5.0069610588e-03
3.8132879734e+00 5.0069303252e-03
3.8238821030e+00 5.0068576820e-03
3.8344459534e+00 5.0067752600e-03
3.8449800014e+00 5.0068199635e-03
3.8554849625e+00 5.0068390556e-03
3.8659598827e+00 5.0068120472e-03
3.8764059544e+00 5.0067659467e-03
3.8868219852e+00 5.0069135614e-03
3.8972098827e+00 5.0069405697e-03
3.9075689316e+00 5.0069009885e-03
3.9179000854e+00 5.0068539567e-03
3.9282031059e+00 5.0069368444e-03
3.9384779930e+00 5.0067529082e-03
3.9487259388e+00 5.0069107674e-03
3.9589450359e+00 5.0067673437e-03
3.9691359997e+00 5.0067575648e-03
3.9793009758e+00 5.0068702549e-03
3.9894390106e+00 5.0069387071e-03
3.9995501041e+00 5.0068837591e-03
4.0096349716e+00 5.0071496516e-03
4.0196938515e+00 5.0079594366e-03
4.0297250748e+00 5.0101215020e-03
4.0397310257e+00 5.0135599449e-03
4.0497112274e+00 5.0166132860e-03
4.0596652031e+00 5.0166700967e-03
4.0695948601e+00 5.0238333642e-03
4.0794978142e+00 5.0333947875e-03
4.0893759727e+00 5.0371624529e-03
4.0992298126e+00 5.0372877158e-03
4.1090588570e+00 5.0328900106e-03
4.1188631058e+00 5.0266459584e-03
4.1286420822e+00 5.0327917561e-03
4.1383981705e+00 5.0354092382e-03
4.1481289864e+00 5.0367349759e-03
