# wavelength_um half_bin_width_um noisy_transit_depth sigma_inst
3.2762739658e+00 6.1813741922e-03 4.8227780499e-03 5.3759438742e-05
3.2886140347e+00 6.1582787894e-03 4.6995119192e-03 5.3204119467e-05
3.3009068966e+00 6.1354190111e-03 4.7691049986e-03 5.1875471399e-05
3.3131558895e+00 6.1132740229e-03 4.7926148400e-03 5.1403560065e-05
3.3253600597e+00 6.0913488269e-03 4.8906467855e-03 5.1384769904e-05
3.3375210762e+00 6.0693351552e-03 4.7671948560e-03 5.1595430705e-05
3.3496379852e+00 6.0473452322e-03 4.7239451669e-03 5.1170351071e-05
3.3617110252e+00 6.0258028097e-03 4.8438389786e-03 5.0720678701e-05
3.3737409115e+00 6.0046608560e-03 4.8780529760e-03 5.1003931731e-05
3.3857290745e+00 5.9836879373e-03 4.7424179502e-03 5.1074210205e-05
3.3976759911e+00 5.9628388844e-03 4.8307511024e-03 5.1058821555e-05
3.4095809460e+00 5.9419111349e-03 4.7177472152e-03 5.1325539971e-05
3.4214429855e+00 5.9211580083e-03 4.7679292038e-03 5.0804781495e-05
3.4332649708e+00 5.9008761309e-03 4.8611429520e-03 4.9749989557e-05
3.4450469017e+00 5.8807991445e-03 4.8987590708e-03 4.9369591579e-05
3.4567890167e+00 5.8608711697e-03 4.8889401369e-03 4.9408528866e-05
3.4684898853e+00 5.8411150239e-03 4.9210749567e-03 4.9601239880e-05
3.4801530838e+00 5.8215712197e-03 4.8526590690e-03 5.0154179917e-05
3.4917769432e+00 5.8020111173e-03 4.9638738856e-03 5.0706741604e-05
3.5033609867e+00 5.7825571857e-03 4.8940000124e-03 5.1121631259e-05
3.5149068832e+00 5.7634958066e-03 4.8572150990e-03 5.1991308283e-05
3.5264151096e+00 5.7446211576e-03 4.9355239607e-03 5.2903131291e-05
3.5378849506e+00 5.7258531451e-03 4.8098950647e-03 5.2603871154e-05
3.5493180752e+00 5.7073039934e-03 4.8476532102e-03 5.1492610510e-05
3.5607149601e+00 5.6888819672e-03 4.8929317854e-03 5.0698799896e-05
3.5720739365e+00 5.6705679744e-03 4.8969658092e-03 5.0452919822e-05
3.5833969116e+00 5.6524719112e-03 4.9173641019e-03 5.0445101806e-05
3.5946838856e+00 5.6345202029e-03 4.9640918151e-03 5.0378639571e-05
3.6059350967e+00 5.6166620925e-03 4.8473412171e-03 5.0500621001e-05
3.6171500683e+00 5.5989958346e-03 4.8942281865e-03 5.1369021094e-05
3.6283309460e+00 5.5815041997e-03 4.8921220005e-03 5.2593659348e-05
3.6394770145e+00 5.5641317740e-03 5.0480300561e-03 5.3066069086e-05
3.6505870819e+00 5.5469088256e-03 4.9291080795e-03 5.2753130149e-05
3.6616640091e+00 5.5298558436e-03 4.8459218815e-03 5.2495248383e-05
3.6727070808e+00 5.5128638633e-03 4.8439688981e-03 5.2793559007e-05
3.6837160587e+00 5.4960651323e-03 4.9047688954e-03 5.3078791098e-05
3.6946909428e+00 5.4794410244e-03 4.9666138366e-03 5.2850449720e-05
